SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
FACT, EQ, 12-Feb-2021,81.6,81.9,81.95,78.8,79.45,79.3,80.48,456909,367.72,8310, 104949, 22.97
FAIRCHEMOR, EQ, 12-Feb-2021,627.85,631.95,634.45,617.95,629.0,626.95,629.49,20193,127.11,361, 14166, 70.15
FCL, EQ, 12-Feb-2021,69.5,70.1,74.0,69.0,73.6,73.7,72.53,1261872,915.22,5834, 721901, 57.21
FCONSUMER, EQ, 12-Feb-2021,8.2,8.2,8.35,8.05,8.3,8.3,8.18,5706000,466.8,4044, 2330612, 40.84
FCSSOFT, BE, 12-Feb-2021,0.9,0.9,0.95,0.85,0.85,0.85,0.9,2559645,23.13,1315, -, -
FDC, EQ, 12-Feb-2021,285.4,288.3,294.5,285.05,290.0,289.75,289.23,201939,584.08,6642, 93198, 46.15
FEDERALBNK, EQ, 12-Feb-2021,83.4,83.7,84.15,82.65,82.8,83.15,83.45,12911103,10773.73,26497, 1904849, 14.75
FEL, EQ, 12-Feb-2021,11.65,11.45,11.55,11.15,11.35,11.3,11.31,1458955,165.06,2101, 800700, 54.88
FELDVR, EQ, 12-Feb-2021,15.0,14.5,15.2,14.3,14.55,14.5,14.6,54328,7.93,265, 26858, 49.44
FIEMIND, EQ, 12-Feb-2021,638.4,644.0,688.0,621.0,664.0,659.8,669.52,235953,1579.75,11654, 95536, 40.49
FILATEX, EQ, 12-Feb-2021,60.85,61.85,62.0,58.5,59.0,59.05,60.43,1443040,872.0,1794, 1346962, 93.34
FILDF2GP, MF, 12-Feb-2021,0.31,0.28,0.28,0.28,0.28,0.28,0.28,3479,0.01,1, 3479, 100.00
FINCABLES, EQ, 12-Feb-2021,375.1,378.9,409.8,375.1,390.05,392.85,393.85,2007360,7905.91,58320, 417095, 20.78
FINEORG, EQ, 12-Feb-2021,2369.2,2390.9,2559.0,2372.0,2414.95,2419.3,2464.63,152755,3764.85,16282, 29359, 19.22
FINPIPE, EQ, 12-Feb-2021,675.55,678.0,690.0,672.0,675.0,675.8,681.78,150845,1028.44,9481, 73261, 48.57
FLEXITUFF, EQ, 12-Feb-2021,19.0,19.95,19.95,19.9,19.95,19.95,19.95,29986,5.98,48, 29932, 99.82
FLFL, EQ, 12-Feb-2021,86.75,86.75,87.45,85.7,85.9,85.95,86.05,108491,93.35,1223, 68781, 63.40
FLUOROCHEM, EQ, 12-Feb-2021,578.05,577.0,586.0,570.45,578.0,574.15,579.83,24463,141.84,1982, 12645, 51.69
FMGOETZE, EQ, 12-Feb-2021,279.95,298.8,307.9,289.05,307.9,307.9,301.63,679115,2048.38,15355, 238672, 35.14
FMNL, EQ, 12-Feb-2021,18.7,18.9,18.9,17.85,18.6,18.3,18.33,46594,8.54,271, 26112, 56.04
FORCEMOT, EQ, 12-Feb-2021,1411.15,1394.1,1423.8,1394.1,1404.9,1404.1,1409.14,23773,334.99,2193, 10508, 44.20
FORTIS, EQ, 12-Feb-2021,171.15,171.45,172.75,165.0,165.2,165.45,167.01,3910590,6531.15,29712, 1973897, 50.48
FOSECOIND, EQ, 12-Feb-2021,1282.0,1283.0,1283.0,1269.0,1275.0,1272.8,1274.06,1496,19.06,264, 1095, 73.20
FRETAIL, EQ, 12-Feb-2021,77.25,77.25,77.9,76.0,76.6,76.45,76.39,1978817,1511.68,20269, 1085375, 54.85
FSC, EQ, 12-Feb-2021,100.55,102.0,102.0,98.25,98.5,98.95,99.46,56794,56.49,844, 28341, 49.90
FSL, EQ, 12-Feb-2021,98.15,98.0,99.75,96.95,97.7,97.45,98.53,2400949,2365.71,22068, 1213040, 50.52
G5, EQ, 12-Feb-2021,47.36,47.37,47.44,47.34,47.44,47.44,47.4,2239,1.06,18, 2182, 97.45
GABRIEL, EQ, 12-Feb-2021,115.8,117.5,117.5,113.9,115.4,114.95,115.47,135100,156.0,2109, 74136, 54.87
GAEL, EQ, 12-Feb-2021,131.8,132.4,133.9,129.8,130.3,130.2,131.17,127755,167.58,1673, 62000, 48.53
GAIL, EQ, 12-Feb-2021,136.45,136.95,137.25,132.35,132.7,132.9,134.18,13980720,18758.92,69584, 3104030, 22.20
GAL, EQ, 12-Feb-2021,2.9,2.95,2.95,2.8,2.85,2.85,2.83,31991,0.9,94, 24095, 75.32
GALAXYSURF, EQ, 12-Feb-2021,2227.3,2238.0,2238.0,2170.1,2176.0,2175.85,2194.56,18011,395.26,3163, 9638, 53.51
GALLANTT, EQ, 12-Feb-2021,44.4,44.8,48.3,41.8,46.05,47.05,46.55,244280,113.7,2036, 100034, 40.95
GALLISPAT, EQ, 12-Feb-2021,38.45,38.4,41.0,37.1,39.5,39.4,39.33,87614,34.46,865, 33669, 38.43
GAMMNINFRA, EQ, 12-Feb-2021,0.8,0.8,0.8,0.75,0.8,0.75,0.76,1791445,13.68,1654, 1231183, 68.73
GANDHITUBE, EQ, 12-Feb-2021,290.25,290.05,294.75,288.0,288.0,289.15,289.85,6810,19.74,521, 4432, 65.08
GANECOS, EQ, 12-Feb-2021,560.45,562.0,568.6,531.0,545.0,541.1,549.51,110552,607.5,3816, 64630, 58.46
GANESHHOUC, EQ, 12-Feb-2021,41.7,40.55,42.75,39.65,42.25,42.15,40.53,72224,29.27,498, 43701, 60.51
GANGAFORGE, SM, 12-Feb-2021,29.6,29.8,29.8,29.8,29.8,29.8,29.8,8000,2.38,1, 8000, 100.00
GANGESSECU, EQ, 12-Feb-2021,67.6,64.1,70.0,64.1,66.3,66.55,67.93,6564,4.46,186, 3539, 53.92
GARFIBRES, EQ, 12-Feb-2021,2289.9,2290.0,2358.0,2230.0,2259.0,2259.25,2302.2,15704,361.54,2679, 8423, 53.64
GATI, EQ, 12-Feb-2021,93.75,94.1,95.9,92.05,92.85,92.95,93.91,657084,617.08,7762, 302750, 46.07
GAYAHWS, BE, 12-Feb-2021,0.7,0.7,0.7,0.65,0.7,0.65,0.66,547867,3.61,195, -, -
GAYAPROJ, EQ, 12-Feb-2021,44.15,44.45,44.45,43.5,44.05,44.0,43.96,270834,119.07,1089, 184917, 68.28
GBGLOBAL, EQ, 12-Feb-2021,7.2,6.9,7.5,6.85,7.45,7.15,7.13,1897,0.14,30, 1793, 94.52
GDL, EQ, 12-Feb-2021,161.85,162.95,165.85,159.0,159.0,160.35,162.98,94049,153.28,2102, 50242, 53.42
GEECEE, EQ, 12-Feb-2021,87.1,87.25,92.0,87.25,92.0,91.1,89.01,22061,19.64,459, 18563, 84.14
GEEKAYWIRE, EQ, 12-Feb-2021,79.05,80.4,83.6,79.05,83.6,80.45,79.83,12530,10.0,61, 12276, 97.97
GENESYS, BE, 12-Feb-2021,67.75,66.0,68.0,66.0,67.8,67.5,67.5,154558,104.32,37, -, -
GENUSPAPER, EQ, 12-Feb-2021,6.5,6.55,6.55,6.4,6.4,6.45,6.46,156730,10.12,201, 115923, 73.96
GENUSPOWER, EQ, 12-Feb-2021,38.3,38.3,40.0,38.05,39.6,39.85,39.38,793962,312.63,1786, 419508, 52.84
GEOJITFSL, EQ, 12-Feb-2021,53.55,53.55,58.3,53.25,57.35,57.5,56.97,1877333,1069.56,8822, 904009, 48.15
GEPIL, EQ, 12-Feb-2021,280.0,281.5,284.75,278.2,279.8,279.2,281.02,59651,167.63,1501, 38865, 65.15
GESHIP, EQ, 12-Feb-2021,255.1,255.9,262.35,255.55,258.0,256.5,257.85,307979,794.13,4126, 196961, 63.95
GET&D, EQ, 12-Feb-2021,116.3,117.95,119.25,116.3,116.9,116.85,117.66,200019,235.34,3462, 65223, 32.61
GFLLIMITED, EQ, 12-Feb-2021,88.1,91.5,91.9,87.0,90.05,90.3,90.46,95085,86.02,1626, 46147, 48.53
GHCL, EQ, 12-Feb-2021,208.2,209.2,210.95,206.25,207.2,207.5,208.43,54652,113.91,1385, 28578, 52.29
GICHSGFIN, EQ, 12-Feb-2021,120.25,121.3,124.3,121.05,122.3,122.05,122.71,547947,672.39,5544, 252381, 46.06
GICRE, EQ, 12-Feb-2021,137.85,143.0,145.0,141.7,142.4,142.55,143.15,1755360,2512.88,23290, 516381, 29.42
GILLANDERS, EQ, 12-Feb-2021,47.6,43.0,43.1,42.85,42.85,42.85,42.9,21841,9.37,107, 17853, 81.74
GILLETTE, EQ, 12-Feb-2021,5707.5,5730.0,5730.0,5650.0,5665.0,5671.55,5690.66,4464,254.03,1385, 2184, 48.92
GINNIFILA, EQ, 12-Feb-2021,19.05,19.55,19.55,18.4,18.5,18.6,18.9,61158,11.56,180, 53544, 87.55
GIPCL, EQ, 12-Feb-2021,76.95,77.35,78.1,76.5,76.8,76.95,77.31,123729,95.65,1460, 70154, 56.70
GISOLUTION, EQ, 12-Feb-2021,2.35,2.25,2.45,2.25,2.25,2.25,2.3,3545,0.08,17, 3065, 86.46
GKWLIMITED, EQ, 12-Feb-2021,519.9,549.95,571.85,549.95,571.85,571.85,566.31,1586,8.98,167, 1418, 89.41
GLAND, EQ, 12-Feb-2021,2283.85,2285.7,2285.7,2179.55,2198.0,2188.0,2215.39,151350,3352.99,16348, 95955, 63.40
GLAXO, EQ, 12-Feb-2021,1441.05,1442.0,1457.45,1420.0,1422.0,1424.65,1435.31,76163,1093.17,4003, 57194, 75.09
GLENMARK, EQ, 12-Feb-2021,506.25,507.95,510.95,502.0,502.55,504.1,506.04,1062354,5375.98,26326, 283331, 26.67
GLFL, EQ, 12-Feb-2021,2.45,2.6,2.65,2.35,2.45,2.6,2.56,42194,1.08,81, 15005, 35.56
GLOBAL, EQ, 12-Feb-2021,53.4,53.4,54.5,50.75,50.75,50.95,51.84,24888,12.9,189, 12017, 48.28
GLOBALVECT, BZ, 12-Feb-2021,47.4,46.5,48.45,46.5,47.1,47.1,47.24,4204,1.99,45, -, -
GLOBE, BE, 12-Feb-2021,60.2,59.9,61.8,59.1,61.75,61.75,61.03,814,0.5,12, -, -
GLOBOFFS, EQ, 12-Feb-2021,7.8,8.15,8.15,7.9,8.15,8.15,8.13,66442,5.4,202, 53444, 80.44
GLOBUSSPR, EQ, 12-Feb-2021,392.85,394.7,398.0,387.0,388.45,387.65,391.22,85578,334.79,2651, 36042, 42.12
GMBREW, EQ, 12-Feb-2021,421.4,423.0,430.0,419.8,424.0,423.5,424.8,19655,83.49,885, 7892, 40.15
GMDCLTD, EQ, 12-Feb-2021,56.45,56.65,57.0,56.0,56.15,56.1,56.4,790498,445.81,4540, 326768, 41.34
GMMPFAUDLR, EQ, 12-Feb-2021,3769.4,3770.0,3784.0,3680.8,3704.0,3696.7,3736.7,34544,1290.81,6611, 15592, 45.14
GMRINFRA, EQ, 12-Feb-2021,26.0,26.05,26.5,25.85,26.05,26.1,26.12,7169483,1872.66,20247, 961967, 13.42
GNA, EQ, 12-Feb-2021,405.2,413.0,426.7,396.35,401.65,403.7,413.8,338416,1400.37,12104, 129878, 38.38
GNFC, EQ, 12-Feb-2021,224.4,224.5,229.0,222.85,224.8,225.45,226.23,653773,1479.0,6432, 260562, 39.86
GOACARBON, EQ, 12-Feb-2021,299.75,302.4,304.75,282.1,287.15,286.25,292.48,48973,143.24,1787, 28150, 57.48
GOCLCORP, EQ, 12-Feb-2021,251.25,247.5,255.0,238.3,240.0,242.65,248.67,29878,74.3,1944, 15182, 50.81
GODFRYPHLP, EQ, 12-Feb-2021,926.65,933.0,938.9,920.1,923.95,923.75,929.13,41514,385.72,3378, 15086, 36.34
GODHA, EQ, 12-Feb-2021,44.15,40.1,45.5,40.1,40.7,40.95,41.81,2174,0.91,64, 1359, 62.51
GODREJAGRO, EQ, 12-Feb-2021,502.8,504.95,505.35,500.0,502.0,501.3,502.59,58197,292.49,2197, 38157, 65.57
GODREJCP, EQ, 12-Feb-2021,758.75,764.0,765.0,753.0,753.0,754.3,759.37,641825,4873.81,15648, 173946, 27.10
GODREJIND, EQ, 12-Feb-2021,449.15,450.0,460.0,441.6,452.0,450.25,448.97,172421,774.12,6405, 109929, 63.76
GODREJPROP, EQ, 12-Feb-2021,1481.6,1483.0,1509.15,1476.45,1486.0,1488.4,1495.14,681954,10196.17,54789, 206332, 30.26
GOENKA, BZ, 12-Feb-2021,1.4,1.45,1.45,1.45,1.45,1.45,1.45,122192,1.77,43, -, -
GOKEX, EQ, 12-Feb-2021,78.05,78.4,79.95,77.4,77.5,77.6,78.43,78450,61.53,896, 56574, 72.11
GOKUL, EQ, 12-Feb-2021,19.05,19.45,19.8,18.7,18.7,19.1,19.26,72523,13.97,363, 44746, 61.70
GOKULAGRO, EQ, 12-Feb-2021,24.25,24.15,24.65,22.15,22.9,23.15,23.63,75477,17.83,489, 54509, 72.22
GOLDBEES, EQ, 12-Feb-2021,41.76,41.38,41.45,41.07,41.18,41.2,41.25,6723676,2773.81,17657, 5224002, 77.70
GOLDENTOBC, EQ, 12-Feb-2021,45.95,46.8,46.8,42.6,44.9,44.65,44.99,9815,4.42,321, 7025, 71.57
GOLDIAM, EQ, 12-Feb-2021,233.15,240.0,262.75,240.0,251.6,253.3,251.38,585830,1472.64,12165, 272831, 46.57
GOLDSHARE, EQ, 12-Feb-2021,4305.25,4305.25,4305.25,4264.0,4270.0,4272.15,4276.43,3437,146.98,1003, 2636, 76.69
GOLDTECH, EQ, 12-Feb-2021,10.35,10.95,10.95,10.05,10.4,10.3,10.47,62017,6.5,302, 44836, 72.30
GOODLUCK, EQ, 12-Feb-2021,75.9,76.35,79.15,74.0,76.6,77.3,77.13,474018,365.62,5783, 156275, 32.97
GOODYEAR, EQ, 12-Feb-2021,996.4,1008.0,1013.1,985.0,995.0,997.1,1001.73,34626,346.86,1949, 24402, 70.47
GPIL, EQ, 12-Feb-2021,504.9,508.0,508.8,495.0,498.0,501.45,501.98,138533,695.41,7523, 72496, 52.33
GPPL, EQ, 12-Feb-2021,97.1,96.2,96.35,92.4,94.35,94.75,93.96,1042942,979.93,10554, 669273, 64.17
GPTINFRA, EQ, 12-Feb-2021,45.75,46.9,46.9,45.05,45.35,45.85,45.75,53862,24.64,482, 35966, 66.77
GRANULES, EQ, 12-Feb-2021,330.05,330.3,338.1,330.05,335.25,336.15,335.22,1059556,3551.84,18003, 429426, 40.53
GRAPHITE, EQ, 12-Feb-2021,422.9,423.0,428.0,410.45,417.5,417.0,420.38,853965,3589.87,17330, 339446, 39.75
GRASIM, EQ, 12-Feb-2021,1235.45,1244.0,1254.8,1221.05,1239.75,1242.1,1242.85,3421387,42522.63,106772, 612692, 17.91
GRAVITA, EQ, 12-Feb-2021,78.95,78.8,80.75,77.1,77.5,77.6,78.8,304444,239.89,2352, 126521, 41.56
GREAVESCOT, EQ, 12-Feb-2021,87.8,88.3,94.0,88.3,92.1,92.1,92.05,4958153,4564.19,30825, 1757251, 35.44
GREENLAM, EQ, 12-Feb-2021,900.0,919.95,925.0,900.0,914.0,909.0,913.68,12564,114.8,852, 6545, 52.09
GREENPANEL, EQ, 12-Feb-2021,176.65,179.3,182.8,171.45,175.0,172.8,175.77,122079,214.58,6616, 86026, 70.47
GREENPLY, EQ, 12-Feb-2021,137.0,140.0,164.4,140.0,164.4,164.4,156.45,10210970,15974.92,85163, 3947742, 38.66
GREENPOWER, BE, 12-Feb-2021,2.45,2.4,2.45,2.4,2.45,2.45,2.42,350794,8.49,715, -, -
GRINDWELL, EQ, 12-Feb-2021,870.15,874.55,888.8,862.0,872.9,872.0,877.35,24748,217.13,2741, 14544, 58.77
GROBTEA, EQ, 12-Feb-2021,908.4,908.4,999.05,908.35,990.0,992.65,984.08,7576,74.55,789, 3401, 44.89
GRPLTD, EQ, 12-Feb-2021,830.4,830.0,849.65,813.9,840.0,831.85,828.33,4967,41.14,634, 3309, 66.62
GRSE, EQ, 12-Feb-2021,196.15,196.9,200.0,194.05,198.2,198.25,196.73,134956,265.5,2673, 63410, 46.99
GSCLCEMENT, EQ, 12-Feb-2021,37.15,36.3,38.15,36.3,36.65,36.65,37.23,462443,172.17,2805, 168355, 36.41
GSFC, EQ, 12-Feb-2021,78.2,77.8,80.3,75.8,76.8,76.75,78.24,1989380,1556.51,7681, 1024055, 51.48
GSPL, EQ, 12-Feb-2021,233.05,234.8,235.6,227.3,232.2,232.4,231.69,1036577,2401.65,25275, 543058, 52.39
GSS, EQ, 12-Feb-2021,51.15,51.85,56.0,51.0,55.3,55.35,54.48,877637,478.15,4092, 444660, 50.67
GTL, EQ, 12-Feb-2021,7.0,7.3,7.35,7.05,7.35,7.35,7.32,284228,20.82,1950, 229614, 80.79
GTLINFRA, EQ, 12-Feb-2021,1.0,1.05,1.05,1.0,1.05,1.05,1.03,5728119,59.06,2708, 3846481, 67.15
GTNIND, EQ, 12-Feb-2021,11.3,11.7,11.7,11.1,11.5,11.5,11.5,2777,0.32,22, 2691, 96.90
GTPL, EQ, 12-Feb-2021,131.85,131.8,134.35,130.5,133.0,133.3,133.2,54830,73.03,1166, 27273, 49.74
GUFICBIO, EQ, 12-Feb-2021,115.45,116.25,116.95,113.8,114.15,114.8,115.43,98462,113.65,2027, 45511, 46.22
GUJALKALI, EQ, 12-Feb-2021,316.35,317.75,318.8,310.35,310.85,311.1,313.38,135784,425.52,4424, 94262, 69.42
GUJAPOLLO, EQ, 12-Feb-2021,238.6,238.0,242.45,235.4,238.9,238.05,238.45,20227,48.23,699, 12482, 61.71
GUJGASLTD, EQ, 12-Feb-2021,443.65,440.0,454.0,432.25,448.2,449.35,445.37,866539,3859.33,17177, 204029, 23.55
GUJRAFFIA, BE, 12-Feb-2021,44.45,46.65,46.65,46.0,46.65,46.65,46.63,8479,3.95,115, -, -
GULFOILLUB, EQ, 12-Feb-2021,753.2,750.0,770.0,726.0,727.1,729.3,741.55,24869,184.42,2388, 8132, 32.70
GULFPETRO, EQ, 12-Feb-2021,43.9,44.7,45.8,43.0,43.2,43.3,44.11,80363,35.45,768, 41101, 51.14
GULPOLY, EQ, 12-Feb-2021,93.45,93.45,98.3,93.45,95.0,95.55,96.49,206370,199.12,4374, 73835, 35.78
HAL, EQ, 12-Feb-2021,994.15,998.0,1049.0,997.9,1027.5,1026.5,1025.93,1440245,14775.96,78918, 333045, 23.12
HAPPSTMNDS, EQ, 12-Feb-2021,371.05,381.05,418.9,376.0,393.0,400.0,405.11,17095556,69255.38,245705, 2288777, 13.39
HARITASEAT, EQ, 12-Feb-2021,744.3,735.0,762.4,722.0,735.4,731.2,739.32,16174,119.58,767, 11448, 70.78
HARRMALAYA, EQ, 12-Feb-2021,115.05,121.9,124.0,118.6,119.1,119.6,120.79,486030,587.07,9612, 145589, 29.95
HATHWAY, EQ, 12-Feb-2021,30.5,30.95,30.95,30.1,30.4,30.4,30.51,194991,59.49,1205, 104292, 53.49
HATSUN, EQ, 12-Feb-2021,709.85,715.0,735.0,712.5,719.3,714.95,718.63,30665,220.37,3290, 19722, 64.31
HAVELLS, EQ, 12-Feb-2021,1155.35,1158.8,1163.95,1128.05,1145.2,1141.95,1145.37,1437728,16467.25,32411, 323487, 22.50
HAVISHA, BE, 12-Feb-2021,0.85,0.85,0.9,0.8,0.9,0.85,0.85,31572,0.27,96, -, -
HBANKETF, EQ, 12-Feb-2021,357.04,359.37,362.17,356.95,359.22,360.04,359.69,981,3.53,120, 744, 75.84
HBLPOWER, EQ, 12-Feb-2021,35.6,36.0,38.2,35.35,36.75,37.0,36.71,1440100,528.7,5774, 611276, 42.45
HBSL, BE, 12-Feb-2021,8.55,8.95,8.95,8.95,8.95,8.95,8.95,5301,0.47,15, -, -
HCC, EQ, 12-Feb-2021,8.65,8.75,8.75,8.5,8.55,8.55,8.59,1775537,152.56,2333, 1069524, 60.24
HCG, EQ, 12-Feb-2021,151.7,151.0,154.4,149.05,151.1,150.4,152.05,243367,370.04,4953, 174810, 71.83
HCL-INSYS, EQ, 12-Feb-2021,8.95,9.0,9.15,8.55,8.55,8.65,8.78,566244,49.69,1359, 395623, 69.87
HCLTECH, EQ, 12-Feb-2021,970.4,975.0,986.5,957.6,962.8,960.4,974.32,8045740,78391.29,152352, 1838062, 22.85
HDFC, EQ, 12-Feb-2021,2760.6,2746.0,2809.0,2735.6,2789.0,2791.5,2781.64,2921180,81256.64,116778, 1204874, 41.25
HDFC, W3, 12-Feb-2021,880.0,875.1,915.0,870.0,885.15,894.75,901.7,28200,254.28,47, 19200, 68.09
HDFCAMC, EQ, 12-Feb-2021,2979.4,2990.1,3026.7,2975.45,2992.55,2998.4,3001.58,188575,5660.23,20580, 57444, 30.46
HDFCBANK, EQ, 12-Feb-2021,1572.35,1573.9,1592.5,1573.0,1589.55,1581.95,1584.36,4955053,78505.73,164667, 1476085, 29.79
HDFCLIFE, EQ, 12-Feb-2021,714.2,713.95,720.0,708.25,709.35,710.95,715.26,1760221,12590.21,60154, 773613, 43.95
HDFCMFGETF, EQ, 12-Feb-2021,4284.1,4249.0,4259.0,4216.65,4237.95,4237.6,4237.9,7866,333.35,1243, 6086, 77.37
HDFCNIFETF, EQ, 12-Feb-2021,1595.07,1595.07,1613.2,1595.0,1609.54,1609.56,1607.29,4741,76.2,433, 3767, 79.46
HDFCSENETF, EQ, 12-Feb-2021,5454.6,5454.6,5514.38,5435.01,5475.0,5475.0,5483.28,93,5.1,54, 54, 58.06
HDIL, BZ, 12-Feb-2021,5.6,5.6,5.7,5.4,5.65,5.6,5.52,313052,17.27,526, -, -
HEG, EQ, 12-Feb-2021,1183.05,1172.9,1190.0,1146.35,1160.0,1159.9,1168.15,474854,5547.0,18593, 84311, 17.76
HEIDELBERG, EQ, 12-Feb-2021,228.25,229.85,231.6,227.75,230.0,230.15,230.21,165051,379.96,12352, 93544, 56.68
HEMIPROP, BE, 12-Feb-2021,183.05,191.4,192.2,189.0,192.2,192.2,191.95,813408,1561.34,5585, -, -
HEOFRG1126, MF, 12-Feb-2021,10.93,10.5,10.5,10.05,10.05,10.05,10.05,5001,0.5,2, 5001, 100.00
HERCULES, EQ, 12-Feb-2021,125.0,126.95,126.95,122.45,123.25,123.05,124.81,42076,52.51,924, 20399, 48.48
HERITGFOOD, EQ, 12-Feb-2021,279.8,284.0,284.0,278.5,280.0,279.45,280.07,77554,217.2,4315, 58394, 75.29
HEROMOTOCO, EQ, 12-Feb-2021,3541.5,3535.95,3580.0,3502.9,3512.0,3515.75,3538.25,566161,20032.17,32248, 86054, 15.20
HESTERBIO, EQ, 12-Feb-2021,1697.65,1702.85,1729.6,1690.0,1700.0,1698.0,1713.85,5811,99.59,790, 2884, 49.63
HEXATRADEX, EQ, 12-Feb-2021,47.15,49.3,49.5,46.45,49.5,49.25,48.85,119271,58.26,383, 86886, 72.85
HFCL, EQ, 12-Feb-2021,28.1,28.05,28.4,27.65,27.9,27.95,27.98,8515370,2382.44,10044, 2790111, 32.77
HGINFRA, EQ, 12-Feb-2021,307.7,308.0,323.85,301.95,313.85,312.75,314.09,288100,904.89,7031, 125719, 43.64
HGS, EQ, 12-Feb-2021,1166.1,1155.5,1180.05,1145.45,1150.45,1150.95,1159.64,22450,260.34,1881, 16230, 72.29
HIKAL, EQ, 12-Feb-2021,168.2,168.45,169.45,166.3,166.6,166.95,167.85,663865,1114.31,4309, 523942, 78.92
HIL, EQ, 12-Feb-2021,3083.35,3083.0,3160.65,3050.45,3065.05,3078.25,3115.06,20387,635.07,3898, 11413, 55.98
HILTON, EQ, 12-Feb-2021,11.45,11.45,11.75,11.2,11.75,11.6,11.56,3979,0.46,48, 3289, 82.66
HIMATSEIDE, EQ, 12-Feb-2021,153.7,151.0,155.15,150.05,151.0,151.0,152.8,113338,173.18,1655, 55067, 48.59
HINDALCO, EQ, 12-Feb-2021,295.4,297.0,297.25,286.5,291.0,290.8,291.69,15454237,45078.2,93994, 3330938, 21.55
HINDCOMPOS, EQ, 12-Feb-2021,306.05,309.0,318.0,303.1,306.85,305.2,309.56,14049,43.49,677, 6148, 43.76
HINDCON, SM, 12-Feb-2021,25.9,24.0,24.0,24.0,24.0,24.0,24.0,4000,0.96,1, 4000, 100.00
HINDCOPPER, EQ, 12-Feb-2021,74.05,74.45,74.45,72.5,72.85,72.75,73.19,1718913,1257.99,9829, 635675, 36.98
HINDMOTORS, EQ, 12-Feb-2021,6.85,6.8,6.9,6.65,6.7,6.7,6.77,97651,6.61,3507, 76711, 78.56
HINDNATGLS, EQ, 12-Feb-2021,27.75,28.4,28.4,26.0,27.25,26.85,27.23,68093,18.54,983, 55404, 81.37
HINDOILEXP, EQ, 12-Feb-2021,84.4,84.8,85.2,82.8,83.0,83.1,84.3,482424,406.69,6149, 110902, 22.99
HINDPETRO, EQ, 12-Feb-2021,227.4,227.9,229.3,222.1,224.5,223.85,224.75,6627798,14896.28,63769, 2818488, 42.53
HINDUNILVR, EQ, 12-Feb-2021,2263.0,2268.0,2272.25,2232.0,2241.5,2241.55,2249.09,1222094,27486.05,64732, 568820, 46.54
HINDZINC, EQ, 12-Feb-2021,296.95,296.25,302.9,294.95,299.15,300.1,300.11,1120805,3363.69,18179, 469777, 41.91
HIRECT, EQ, 12-Feb-2021,145.7,146.2,146.2,143.95,144.1,144.65,145.01,30849,44.73,1183, 11887, 38.53
HISARMETAL, EQ, 12-Feb-2021,107.2,107.95,108.9,105.55,105.55,106.3,107.32,33321,35.76,423, 17028, 51.10
HITECH, EQ, 12-Feb-2021,279.75,281.8,287.0,278.1,282.0,279.4,283.58,89414,253.56,978, 40376, 45.16
HITECHCORP, EQ, 12-Feb-2021,132.4,136.0,144.95,125.15,144.8,138.15,134.02,19559,26.21,464, 12491, 63.86
HITECHGEAR, EQ, 12-Feb-2021,184.4,187.45,187.5,181.15,182.75,181.5,183.22,4170,7.64,202, 3363, 80.65
HLVLTD, EQ, 12-Feb-2021,5.9,5.9,6.05,5.85,6.05,6.0,5.98,219684,13.13,377, 152821, 69.56
HMT, BZ, 12-Feb-2021,25.65,25.7,25.7,24.4,24.4,24.4,24.53,8475,2.08,84, -, -
HMVL, EQ, 12-Feb-2021,55.35,55.1,55.7,53.6,54.0,54.0,54.44,46149,25.12,621, 33608, 72.82
HNDFDS, EQ, 12-Feb-2021,1877.9,1980.0,2019.95,1785.2,1855.05,1841.8,1892.5,92704,1754.43,11623, 38800, 41.85
HNGSNGBEES, EQ, 12-Feb-2021,352.76,358.9,358.9,353.0,357.0,357.0,356.19,385,1.37,43, 368, 95.58
HOMEFIRST, EQ, 12-Feb-2021,548.95,549.95,570.0,543.05,551.0,550.65,558.59,763879,4266.96,38592, 280650, 36.74
HONAUT, EQ, 12-Feb-2021,41630.65,41919.0,42000.0,41200.0,41930.0,41829.85,41548.47,2360,980.54,1804, 894, 37.88
HONDAPOWER, EQ, 12-Feb-2021,1052.85,1080.4,1098.0,1060.0,1072.0,1070.65,1076.57,18183,195.75,2047, 7817, 42.99
HOVS, EQ, 12-Feb-2021,40.3,40.05,43.5,39.3,41.55,41.3,42.05,21752,9.15,361, 12064, 55.46
HPL, EQ, 12-Feb-2021,38.5,38.65,38.95,38.1,38.4,38.35,38.51,93720,36.09,667, 56678, 60.48
HSCL, EQ, 12-Feb-2021,44.95,45.25,46.7,44.8,45.5,45.5,45.67,3135073,1431.75,10466, 1109799, 35.40
HSIL, EQ, 12-Feb-2021,184.8,185.95,200.0,182.05,194.8,194.3,194.63,775299,1508.93,11561, 294516, 37.99
HTMEDIA, EQ, 12-Feb-2021,18.6,18.9,19.15,18.55,18.75,18.75,18.92,244833,46.32,600, 186606, 76.22
HUBTOWN, BE, 12-Feb-2021,18.55,18.95,18.95,17.9,17.9,17.9,18.01,10945,1.97,66, -, -
HUDCO, EQ, 12-Feb-2021,46.5,46.8,46.8,44.6,44.65,44.75,45.42,3509058,1593.65,9812, 1490990, 42.49
